ID	Family	Group	Color	New	Check	Information	Function	File	Status	Severity	Comment	CWE ID	Key	Line	Col
2712	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	MPC5777C_mcan_set_brs_speed()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\can\mcan\MPC5777C_mcan.c	Unreviewed	Unset		CWE-547	13E60C9848824922F568D32245887D1255C891A252BE4D4AA5A88C9A	1701	25
3008	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\a825\SERVICE_a825.c	Unreviewed	Unset		CWE-547	DCC9842894225F863D225488D721558C192A25EBD4A45A8AC8B9	79	27
3037	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\a825\SERVICE_a825.c	Unreviewed	Unset		CWE-547	D881842894225F863D225488D721558C192A25EBD4A45A8AC8B9	60	27
3087	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\common\MPC5777C_REGISTER_XBAR.h	Unreviewed	Unset		CWE-547	8923A612A052887D1AF48851225F84553264A894AF5392692A2326	125	21
3131	Defect	Good practice	Red	no	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\crc_sw\SERVICE_crc_sw.c	Unreviewed	Unset		CWE-547	C4B1842894225F863D225488D721558C192A25EBD4A45A8AD089	16	41
3322	Defect	Good practice	Red	no	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\util\math\SERVICE_math.c	Unreviewed	Unset		CWE-547	D0A1842894225F863D225488D721558C192A25EBD4A45A8ACC99	44	33
2833	Defect	Good practice	Red	yes	Hard-coded loop boundary	Impact: Low	MPC5777C_sbc_compute_parity()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sbc\MPC5777C_sbc.c	Unreviewed	Unset		CWE-547	A68C9A48824922F568D32245887D62F4E914AF429E5572442894AC3560	525	50
3304	Defect	Good practice	Red	no	Hard-coded loop boundary	Impact: Low	math_expf()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\util\math\SERVICE_math.c	Unreviewed	Unset		CWE-547	4C183668210A2588D7A14F881522F589D3A750BE097A55C911A052B2C8B1	1064	26
3335	Defect	Good practice	Red	no	Hard-coded loop boundary	Impact: Low	math_logf()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\util\math\SERVICE_math.c	Unreviewed	Unset		CWE-547	4C983960210A2588D7A14F881522F589D3A750BE097A55C911A052B2C889	1190	21
3593	Defect	Data flow	Red	yes	Partially accessed array	Impact: Low	toHexStrFromUint8()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\03_common\StringUtils.c	Unreviewed	Unset			264E1B508249A29428132659BE051A34A8D4A945887D0A254A50AC316A	196	15
3594	Defect	Data flow	Red	yes	Partially accessed array	Impact: Low	toStrFromUint16()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\03_common\StringUtils.c	Unreviewed	Unset			464C1A508249A29428132659BE051A34A8D4A945887D0A254A50AC316A	214	15
3595	Defect	Data flow	Red	yes	Partially accessed array	Impact: Low	toHexStrFromUint16()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\03_common\StringUtils.c	Unreviewed	Unset			460C1A508249A29428132659BE051A34A8D4A945887D0A254A50AC316A	204	15
679	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	C68DA85582314A642951295F9A259AD42815A1486A	66	5
752	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	E60CA85582314A642951295F9A259AD42815A1486A	70	5
717	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	C68CA85582314A642951295F9A259AD42815A1486A	62	5
686	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	074CA85582314A642951295F9A259AD42815A1486A	81	5
693	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	C60CA85582314A642951295F9A259AD42815A1486A	60	5
749	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	074EA85582314A642951295F9A259AD42815A1486A	89	5
702	Defect	Programming	Red	yes	Qualifier removed in conversion	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\exc\MPC5777C_exc.c	Unreviewed	Unset		CWE-704	C64DA85582314A642951295F9A259AD42815A1486A	65	5
